[2026-04-04T21:09:30.192Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":18,"status":{"code":3,"text":"QR"},"version":"1.8.7-116-gd43416f7","user":null,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:35.221Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":83,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:39.218Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":87,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:44.747Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":92,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:50.386Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":98,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:54.069Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":102,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:10:59.897Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":107,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:11:04.517Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":112,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:11:09.780Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":117,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:11:14.073Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":122,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:11:19.879Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":127,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:11:24.084Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":132,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:11:30.132Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":138,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:11:34.456Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":142,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:11:40.494Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":148,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:13:15.317Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":243,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:15:21.636Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":369,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:41:01.915Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":1906,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T21:42:11.397Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":1979,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-04T22:19:36.994Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":4224,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-05T06:46:42.531Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":34649,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-05T09:34:46.456Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":44733,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-05T10:23:06.550Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":47633,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-05T10:39:35.749Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":48623,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-05T10:39:37.413Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":48624,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-05T11:04:11.997Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":50099,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-05T11:21:38.847Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":51146,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-05T11:28:12.736Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":51540,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-05T11:32:21.349Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":51788,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-05T11:34:12.785Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":51900,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
[2026-04-05T11:35:15.104Z] Token: ZlN78AkDXu... | Status: 200 | Body: {"start_at":1775336951,"uptime":51962,"status":{"code":4,"text":"AUTH"},"version":"1.8.7-116-gd43416f7","user":{"id":"2349056963124","is_business":false,"saved":false},"device_id":15,"ip":"65.108.194.158","is_business":false,"channel_id":"GROOTT-KJLEM","api_version":"d43416f7","core_version":"b770b55b3"}
